Phone,Score

Nokia 7.2

|,85
|

Nokia 9 PureView

|,85
|

Samsung Galaxy A50

|,85
|

Black Shark 2

|,84
|

LG V30

|,84
|

Xiaomi Redmi Note 8 Pro

|,84
|

Motorola Moto Z2 Force

|,82
|

Samsung Galaxy S6 Edge

|,82
|

Motorola Moto G7 Plus

|,80
|

Apple iPhone 6

|,73
|

Google Nexus 6P

|,73
|

Meizu Pro 7 Plus

|,71
|

Lava Z25

|,70
|

Samsung Galaxy S5

|,70
|

Motorola Moto G5S

|,69
|

Apple iPhone 5s

|,68
|

Nokia 8

|,68
|

Wiko View 3 Pro

|,67
|

Fairphone 3

|,66
|

Samsung Galaxy J2 Pro (2018)

|,65
|

Altice S61

|,56
